Description,Enero-2012,Febrero-2012,Marzo-2012,Abril-2012,Mayo-2012,Junio-2012,Julio-2012,Agosto-2012,Septiembre-2012,Octubre-2012,Noviembre-2012,Diciembre-2012,Enero-2013,Febrero-2013,Marzo-2013,Abril-2013,Mayo-2013,Junio-2013,Julio-2013,Agosto-2013,Septiembre-2013,Octubre-2013,Noviembre-2013,Diciembre-2013,Enero-2014,Febrero-2014,Marzo-2014,Abril-2014,Mayo-2014,Junio-2014,Julio-2014,Agosto-2014,Septiembre-2014,Octubre-2014,Noviembre-2014,Diciembre-2014,Enero-2015,Febrero-2015,Marzo-2015,Abril-2015,Mayo-2015,Junio-2015,Julio-2015,Agosto-2015,Septiembre-2015,Octubre-2015,Noviembre-2015,Diciembre-2015,Enero-2016,Febrero-2016,Marzo-2016,Abril-2016,Mayo-2016,Junio-2016,Julio-2016,Agosto-2016,Septiembre-2016,Octubre-2016,Noviembre-2016,Diciembre-2016,Enero-2017,Febrero-2017,Marzo-2017,Abril-2017,Mayo-2017,Junio-2017,Julio-2017,Agosto-2017,Septiembre-2017,Octubre-2017,Noviembre-2017,Diciembre-2017,Enero-2018,Febrero-2018,Marzo-2018,Abril-2018,Mayo-2018,Junio-2018,Julio-2018,Agosto-2018,Septiembre-2018,Octubre-2018,Noviembre-2018,Diciembre-2018,Enero-2019,Febrero-2019,Marzo-2019,Abril-2019,Mayo-2019,Junio-2019,Julio-2019,Agosto-2019,Septiembre-2019,Octubre-2019,Noviembre-2019,Diciembre-2019,EneroP-2020,FebreroP-2020,MarzoR-2020,AbrilP-2020
total,94.6746419,94.07904657,99.09223671,95.47932334,100.3152569,99.68684669,99.31090597,99.09916779,95.18923399,101.859896,104.386473,100.5281517,97.96851302,94.67096673,97.06075075,99.91620405,102.2752716,99.51754425,100.8098418,100.2736007,96.80678417,103.6672356,104.2316865,102.8016009,98.75537057,96.9566857,101.494961,100.318589,104.8605443,102.8938544,104.1385056,101.7360074,100.0153177,106.8109181,106.4799828,106.8819288,102.3190889,99.8704091,104.9661249,103.6883259,106.1997911,107.3175858,107.4602303,105.4827699,105.0231375,109.2941219,109.0982425,109.2618198,104.4215257,104.5803494,105.9102613,107.2927978,109.0568221,109.9594794,107.523314,108.9467384,106.0591649,110.56638,114.1476771,112.5136923,108.4080129,105.2869297,111.8913108,106.2027644,112.3205568,112.8079434,108.9586248,111.780355,106.3307401,112.8498095,116.1754881,113.970091,111.0643736,107.8001315,111.2579883,111.6726358,115.8069037,114.4944394,112.8960475,114.3572328,108.6967033,115.8864211,117.6759391,113.1700089,112.2595265,108.8306422,112.335483,109.865675,115.2044389,112.8263324,113.2993932,113.088621,108.6469006,115.1427671,116.0666937,113.5517159,111.4715145,108.1789371,109.757602,88.05689806
Actividades_primarias,2.995131023,2.747961084,2.750349901,2.84803175,3.221999854,3.642097686,3.143243961,2.470347557,2.067425765,2.700540601,4.340284051,4.0316123,3.273819384,2.839153221,2.438291705,3.013135674,3.446186283,3.652297533,3.241951118,2.425363304,2.181958001,2.98740238,4.135305489,4.277056929,3.225673754,3.12713549,2.608114332,3.04404403,3.647056655,3.668228706,3.426472454,2.583246268,2.27533568,2.901091628,4.199262531,4.471468056,3.669370552,3.128946138,2.561999169,3.181671222,3.816179855,3.535786961,3.206219272,2.647843794,2.366789088,2.930253323,4.080301037,4.595248368,3.729282696,3.23532827,2.521042231,3.203107007,3.589785028,4.022057994,3.307837383,2.837944044,2.433569238,3.009227144,4.446394677,4.793278748,4.175769312,3.110395689,2.665329851,3.284241684,3.623127027,4.185130899,3.409975689,2.76565037,2.49252439,3.10646097,4.822689743,4.896426018,4.24191736,3.409558439,2.848384572,3.417742245,3.942019528,4.002545846,3.452714855,2.814827239,2.492462601,2.941857829,4.986239323,5.050805973,4.197209302,3.595236455,2.899005371,3.359391476,3.876390524,4.035126467,3.537646413,2.778915464,2.64314468,3.213670513,4.755295076,4.953492223,4.355420527,3.360263209,3.169740285,3.421173261
Actividades_secundarias,33.2771053,32.99617195,34.74930754,33.25132022,34.9148968,34.45415937,34.80311077,34.8257156,34.04330715,35.43568661,35.00244788,33.06890074,33.86574845,32.86013562,33.46570836,34.13389717,35.00263905,33.69698621,34.37326581,34.78452323,33.59236411,35.81524107,34.76879428,33.54603015,34.19904156,33.3138539,35.34480705,34.3970927,35.88719124,35.14678521,35.26790377,35.13053138,34.84364791,36.83705561,35.41622818,34.66802847,34.72453097,33.92937989,35.6206601,34.73959626,35.40242996,35.49098699,36.10001203,35.99806738,36.07040711,36.72258852,35.45882738,34.82566265,35.07333155,35.01442492,35.2970968,35.45443766,35.83181422,35.8006159,35.33914655,36.10793212,35.33334657,36.18007428,36.2447446,34.75169416,35.33809862,34.27261592,36.87808686,34.08856636,36.04411376,36.04924843,35.15193685,36.28908389,34.73530071,36.14905931,35.81517961,34.5543421,35.90346136,34.57409886,35.63767843,35.55951035,36.75541222,36.34911215,35.79437147,36.49219984,35.39589226,36.40210703,35.24811951,33.44096522,35.70727009,34.59178726,35.56751059,34.51847001,35.59789474,35.26514181,35.31643921,36.05329907,34.85674501,35.32444673,34.53023056,33.16814981,35.1287261,33.90516596,33.82929419,24.41842667
Industria_de_la_electricidad,9.255465582,8.828703984,9.466697249,9.059455308,9.46311399,9.235764765,9.331616183,9.439720267,9.096033784,9.349406311,9.179346055,9.231009855,9.518041234,8.638226257,9.316419577,9.062037351,9.32521115,9.105395769,9.245806817,9.420252741,9.044808316,9.412178161,9.12144165,9.275382685,9.589723366,8.726823265,9.54194494,9.086758486,9.446547047,9.181677613,9.257557516,9.449112167,9.05195116,9.219081618,8.839295387,8.938159875,9.241430583,8.576632538,9.242170447,8.58823794,8.933176595,8.823461029,8.962947749,9.166741708,8.822729805,9.025634138,8.621241782,8.713315362,9.018513398,8.545086893,8.874993798,8.503493175,8.753935106,8.581329108,8.719640369,8.718653469,8.412031781,8.612759849,8.144505814,8.155714873,8.588086995,7.667693129,8.359360535,7.966964009,8.348936888,8.202702767,8.174778284,8.148753549,7.477094043,7.885403542,7.685539903,7.665528223,8.379452693,7.422957206,7.847398253,7.832005346,7.986507623,7.875831119,7.911210337,8.059464871,7.807209387,7.750030541,7.38858846,7.289433027,7.670122619,7.070451706,7.507409107,7.271679609,7.51443289,7.605997793,7.571789862,7.922564457,7.700259953,7.708280149,7.500325283,7.430363785,8.014134176,7.391156481,7.5938825,7.009654415
Construcción,7.688916491,7.742952554,7.676319429,7.907215138,8.135104299,7.823198625,8.643381481,8.133036824,8.292983358,8.484887059,8.609133623,8.100484854,7.578335497,7.941367254,7.525954126,7.878065965,8.267093209,7.607465775,7.997166542,7.916437145,7.870479657,8.268142079,8.398526169,8.458002379,7.386858377,7.99306498,7.887846284,8.112114535,8.286124875,8.101016037,8.091210869,8.069370289,8.197614492,8.711402727,8.704316159,8.692945878,7.719299101,7.846775056,7.926855066,8.299620075,8.217194221,8.195342427,8.882149369,8.546151503,8.909574652,8.385968298,8.643792501,8.681231616,8.038601162,8.341713606,8.170689539,8.461357346,8.549426571,8.422785117,8.556318284,8.284130555,8.541262221,8.586836266,9.177527836,8.76008572,8.097459041,8.290791702,8.436119628,7.992163029,8.226670457,8.464407252,8.445709391,8.368809508,8.722706745,8.634674911,8.726891405,9.124090028,8.47961942,8.709726852,8.356601653,8.554718706,8.714311777,8.647228445,8.808857113,8.144548133,8.496743574,8.511250618,8.109633306,8.443074621,8.624235858,8.717719837,8.165187128,8.181925397,7.879426027,8.044330033,8.032012865,7.894872849,7.776360695,7.716095944,7.811492353,8.11299797,7.925343898,7.933957598,7.551573343,5.075057152
Industrias_manufactureras,16.33272323,16.42451541,17.60629087,16.28464978,17.31667852,17.39519598,16.8281131,17.25295851,16.65429,17.6,17.21396821,15.73740603,16.76937172,16.28054211,16.62333466,17.19379386,17.41033469,16.98412467,17.13029245,17.44783334,16.67707614,18.13492083,17.24882646,15.81264508,17.22245981,16.59396565,17.91501582,17.19821968,18.15451932,17.86409156,17.91913539,17.61204893,17.59408226,18.90657127,17.87261663,17.03692272,17.76380129,17.5059723,18.45163459,17.85173824,18.25205914,18.47218354,18.25491491,18.28517417,18.33810265,19.31098609,18.1937931,17.43111567,18.01621699,18.12762442,18.25141346,18.48958713,18.52845254,18.79650168,18.06318789,19.1051481,18.38005257,18.98047816,18.92271095,17.83589356,18.65255259,18.31413109,20.0826067,18.12943932,19.46850641,19.38213841,18.53144918,19.77152083,18.53549992,19.62898085,19.4027483,17.76472385,19.04438925,18.4414148,19.43367853,19.1727863,20.05459282,19.82605258,19.07430402,20.28818684,19.09193929,20.14082587,19.74989774,17.70845758,19.41291161,18.80361572,19.89491436,19.06486501,20.20403582,19.61481398,19.71263648,20.23586176,19.38012437,19.90007064,19.21841293,17.62478805,19.18924802,18.58005188,18.68383835,12.3337151
Actividades_terciarias,58.40240557,58.33491354,61.59257926,59.37997136,62.17836029,61.59058963,61.36455124,61.80310463,59.07850107,63.72366881,65.04374102,63.42763866,60.82894518,58.97167789,61.15675068,62.7691712,63.82644629,62.1682605,63.19462484,63.06371415,61.03246205,64.86459218,65.32758671,64.9785138,61.33065526,60.51569632,63.54203959,62.8774523,65.32629643,64.07884044,65.44412935,64.02222974,62.89633413,67.07277081,66.8644921,67.74243229,63.92518737,62.81208307,66.78346563,65.76705838,66.98118127,68.2908118,68.15399902,66.83685874,66.58594131,69.64128002,69.55911406,69.84090878,65.61891143,66.33059626,68.09212223,68.63525314,69.63522287,70.13680547,68.87633012,70.00086225,68.29224911,71.37707861,73.45653786,72.96871942,68.89414501,67.9039181,72.34789412,68.82995637,72.65331607,72.57356405,70.39671221,72.72562069,69.10291498,73.59428921,75.53761872,74.51932287,70.91899486,69.81647423,72.77192532,72.69538316,75.10947197,74.14278137,73.64896117,75.05020574,70.80834844,76.54245629,77.44158023,74.67823767,72.3550471,70.64361853,73.86896702,71.98781348,75.73015362,73.52606413,74.44530755,74.25640649,71.14701086,76.60464985,76.78116805,75.43007384,71.98736784,70.91350791,72.75856752,60.21729812
Comercio_al_por_mayor,16.42955917,16.62438152,18.23468684,16.80967724,18.25046964,17.47420074,17.52216813,18.1093974,16.20132756,19.54956855,20.35360442,17.49342291,17.24153763,16.15535659,17.16893297,18.75280129,18.68670017,17.66245545,18.26238181,18.45933233,16.99241,19.78627176,19.88864942,17.71778234,16.99869083,16.76728744,18.04103174,18.18031406,19.52628438,18.38112937,19.28743489,18.72931817,17.99578363,20.79556718,20.49735582,19.29962143,18.07240061,17.29813058,19.36893125,19.16283151,19.22513488,20.17867459,20.2279719,19.40916031,19.65182908,21.36359771,20.8319688,19.41085254,17.83399849,18.67530854,19.3209743,19.88397906,19.89255211,20.44883316,19.1747959,20.61774977,19.90304509,21.62391235,22.54373409,20.80806963,18.77794741,18.65169646,21.02064179,19.0480809,21.09404252,21.43612151,19.70368477,21.67379684,20.20474769,23.09787976,23.39347596,21.14269203,19.83350027,19.46257563,20.90355585,20.47374063,22.06623089,21.56943111,20.85361296,22.31367254,20.61411971,24.20491196,23.79321934,20.83605318,20.45391422,19.72587263,20.79765757,20.27567928,21.99012282,20.98688658,21.41176617,21.70845735,20.47448582,23.87937394,22.97366573,21.24611527,20.05597307,19.41163417,20.46161635,14.91985512
Transportes_comunicaciones_correo_y_almacenamiento,8.306834104,7.990575605,8.534864564,8.347925943,8.596367751,8.636773825,8.772163612,8.759631182,8.22776561,8.738964755,8.86381168,8.794043776,8.718142908,8.141693902,8.648716873,8.784566969,8.879007999,8.718168705,9.142299913,9.058739697,8.486582271,9.049243575,8.979605601,9.020416512,8.936227327,8.382573232,9.192503703,9.170030732,9.280199206,9.103684161,9.39924567,9.318300977,8.83025408,9.364005896,9.34126631,9.57302965,9.545546491,9.065074147,9.775618648,9.645913277,9.794669241,9.962794059,10.16482492,10.1969774,9.702780398,10.16863577,10.28289721,10.42324161,10.1906785,9.963265161,10.41576698,10.40841634,10.53528055,10.63640342,10.77452932,10.90138725,10.33427477,10.6516593,10.84353984,11.13754363,11.02022192,10.34469944,11.16478361,10.91484976,11.24493798,11.26605227,11.28350193,11.55774969,10.66454968,11.27802463,11.59369975,11.42994028,11.37141113,10.61995141,11.3877999,11.45187191,12.04067701,11.65618459,11.87907452,12.0626461,10.91925653,11.8787927,11.96077945,11.74705568,11.47250256,10.66146103,11.58563299,11.41311109,11.81865768,11.55919154,12.0370458,12.09241397,11.43872311,12.08415703,12.04007311,11.90570062,11.44154325,10.80441094,11.28907692,8.114844927
Servicios_profesionales_y_corporativos,18.74865598,18.8847107,19.53744238,19.1704873,19.84270776,19.96914306,19.77209022,20.02433475,19.65473229,19.97531757,20.23629623,21.83924639,19.78139416,19.80733957,20.16870734,20.21947305,20.85523789,20.38522894,20.50813919,20.50159314,20.29723587,20.42339625,20.77603042,22.6178094,20.06779603,20.24600063,20.92388461,20.50920094,21.03138088,21.12398636,21.10102684,20.77578559,20.78532259,21.2141229,21.30221993,23.13906744,20.8233456,20.91021507,21.80253293,21.52208601,22.20640204,22.27853141,22.01024078,21.85820119,21.73748094,22.14296249,22.4637882,23.83784938,21.90688754,22.03225278,22.6820654,22.64681985,23.14927046,22.96565732,22.84340893,22.85257804,22.28970261,22.87800365,23.66189771,24.73113185,23.02534451,23.05434069,23.95521309,23.11061754,23.90957809,23.55118994,23.13962668,23.64767234,22.90062538,23.06699794,23.98582487,25.61032966,23.29377651,23.45611701,24.03869127,24.36582068,24.21273334,24.18293611,24.28864051,24.56342766,23.81193109,23.95748543,24.90857579,25.87007485,24.13289798,24.14076216,25.0924757,24.22023665,25.27818027,24.5172619,24.51734692,24.51620547,23.78361342,24.17956298,25.1533944,25.78066202,24.24285495,24.20908173,25.19067989,23.72420087
