date,actividades_primarias,industria_extractiva_y_de_la_electricidad,industrias_manufactureras,construccion,comercio,servicios_de_alojamiento,transportes_correos_y_almacenamiento_informacion,servicios_profesionales_financieros_y_corporativos,servicios_educativos,servicios_de_esparcimiento_culturales_y_recreativos,actividades_gubernamentales,no_especificado
2018-01,12.90709538,3.19781715,65.6148327,31.18735015,30.21862875,11.86113191,8.94361028,11.96393902,13.78841616,16.8121172,6.41215667,0.55986735
2018-02,12.86409483,3.12733907,64.41027657,32.46238436,30.47979471,12.34270437,8.44313508,11.47684851,13.53096033,16.66677206,7.05978493,0.54788199
2018-03,12.34123875,3.17968619,64.89877338,31.92154044,30.15601673,12.35058401,8.79121656,11.27587194,13.16252804,17.28198814,6.98179456,0.52011326
2018-04,12.17395904,3.01996522,64.78421627,32.19581852,30.83210322,11.99378563,8.64890834,11.51218061,13.69606095,16.68675576,6.63020548,0.49746322
2018-05,13.23229541,3.32079579,64.037662,32.64154221,30.72893907,12.28567631,8.29517861,11.74059152,13.81405552,16.44432188,6.69123709,0.6617728
2018-06,12.24113233,2.91614761,65.42616531,31.65768708,30.54879305,11.98270766,8.41300585,11.68284265,13.20764342,16.98004629,7.18496109,0.6682513
2018-07,13.16683917,2.88598501,64.18318182,32.93083316,30.69201243,11.85680486,8.5322371,11.99597577,13.23065262,16.73780725,6.95450997,0.6512253
2018-08,13.76713119,3.03907293,65.49882056,31.46210652,31.43687999,12.25866059,8.51028529,11.45436761,12.8133596,16.75846977,6.76797716,0.66363284
2018-09,12.05272728,3.06368711,64.77278734,32.16352554,30.53663824,12.43278816,8.62427266,12.21909146,12.93918501,16.18242136,7.06560312,0.63456945
2018-10,12.00575923,2.53372189,65.07083692,32.39544119,30.04437258,12.42355784,8.36240847,12.4416324,13.43136046,16.26495971,7.03170854,0.54280157
2018-11,13.79215493,3.0414689,67.1181242,29.8404069,30.88771583,12.54021159,8.49918675,11.81800992,13.04631416,16.6067873,6.60177446,0.54485346
2018-12,12.18215897,2.87065416,65.81481136,31.31453448,30.34733148,13.29763348,8.81783409,11.71767208,12.41560748,16.3168798,7.08704158,0.51171576
2019-01,11.91732904,2.93294702,65.4105854,31.65646758,30.98926251,12.43871778,8.45389313,11.39629517,13.421184,16.43656056,6.86408683,0.55870156
2019-02,13.03184922,3.00971648,66.13393099,30.85635254,31.21757542,12.52914281,8.55087666,11.95072277,12.57744526,16.8456465,6.32859059,0.52625224
2019-03,11.54354074,3.01088098,66.28474217,30.70437685,31.11552476,12.98633151,8.52070226,11.33661444,12.38731387,16.87110184,6.78241132,0.56602711
2019-04,11.44871471,2.78507984,64.78882368,32.42609648,31.0620513,12.75251578,8.16093419,11.53267973,12.61877664,16.90247648,6.97056588,0.51682807
2019-05,12.80594422,2.96378282,67.54966112,29.48655605,31.26050164,12.92619193,8.27898031,11.28456608,12.88696011,16.66834396,6.69445597,0.58106582
2019-06,12.36517114,2.7745937,66.38953543,30.83587087,31.60391779,13.19141866,7.90802826,11.40887911,12.42877703,16.53972272,6.91925645,0.58724786
2019-07,12.47315065,2.87715233,65.7397288,31.38311887,31.49531866,13.20868271,8.21363103,11.33529057,12.27957486,16.64526788,6.82223428,0.64192948
2019-08,13.34607496,2.81653967,66.46017635,30.72328398,31.48719368,12.70723457,7.9790455,11.49414776,12.37605578,16.89409849,7.06222422,0.52762739
2019-09,12.21842501,2.83831914,65.82463093,31.33704993,30.93736892,13.185438,8.13692345,11.89513886,12.52869794,16.11646101,7.19997182,0.55519537
2019-10,11.60967037,3.00651865,67.06267626,29.93080508,31.31346648,12.67127531,8.42607976,11.35471257,12.88676575,16.39558635,6.95211378,0.62301126
2019-11,13.44649899,2.67389847,67.62810807,29.69799345,31.05491143,12.66946266,8.43060416,11.29972206,12.69264028,16.87880076,6.97385865,0.53491464
2019-12,12.06745404,2.93357027,65.36160131,31.70482842,31.90617362,12.89970268,8.21712055,11.28889814,12.25698495,16.2171406,7.21397946,0.55222952
2020-01,11.60721739,2.4280754,66.71474405,30.85718055,31.09772085,12.88849971,8.02455323,11.19734212,12.80032663,16.99591165,6.99564581,0.60404343
2020-02,12.68991139,2.93723262,65.78893836,31.27382902,30.89536474,12.58758797,8.50420433,11.2905458,12.80620682,16.6991185,7.21697184,0.56160315
2020-03,11.34952463,3.06826897,65.65674259,31.27498844,31.11675576,12.74197918,7.9721534,11.56282363,12.93693047,16.09904197,7.57031559,0.61606494
